"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.81809802856581e-107,754,1784,298,0.167040358744395,0.395225464190981,"GO:0099536","GO:BP","synaptic signaling",18198,19666,"GO:0007267"
"query_1",TRUE,7.68355515120212e-104,731,1784,289,0.161995515695067,0.395348837209302,"GO:0099537","GO:BP","trans-synaptic signaling",18198,19667,"GO:0099536"
"query_1",TRUE,9.1194890104435e-102,725,1784,285,0.1597533632287,0.393103448275862,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",18198,19499,"GO:0099537"
"query_1",TRUE,9.1194890104435e-102,725,1784,285,0.1597533632287,0.393103448275862,"GO:0007268","GO:BP","chemical synaptic transmission",18198,2829,"GO:0098916"
"query_1",TRUE,2.20377362521418e-100,477,1784,227,0.127242152466368,0.475890985324948,"GO:0050808","GO:BP","synapse organization",18198,13703,"GO:0034330"
"query_1",TRUE,4.47501722063928e-100,745,1784,287,0.160874439461883,0.385234899328859,"GO:0034330","GO:BP","cell junction organization",18198,8863,"GO:0016043"
"query_1",TRUE,1.43673060835981e-97,1147,1784,361,0.202354260089686,0.314734088927637,"GO:0048666","GO:BP","neuron development",18198,13349,"GO:0030182, GO:0048468"
"query_1",TRUE,1.43673060835981e-97,1490,1784,420,0.23542600896861,0.281879194630872,"GO:0048699","GO:BP","generation of neurons",18198,13381,"GO:0022008"
"query_1",TRUE,2.43086011093443e-96,1004,1784,333,0.186659192825112,0.331673306772908,"GO:0031175","GO:BP","neuron projection development",18198,7333,"GO:0048666, GO:0120036"
"query_1",TRUE,6.44965037547682e-94,663,1784,262,0.146860986547085,0.395173453996983,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",18198,20036,"GO:0048858"
"query_1",TRUE,2.85561488976839e-93,1714,1784,449,0.251681614349776,0.26196032672112,"GO:0022008","GO:BP","neurogenesis",18198,6799,"GO:0007399, GO:0030154"
"query_1",TRUE,4.28364042534597e-93,668,1784,262,0.146860986547085,0.392215568862275,"GO:0048858","GO:BP","cell projection morphogenesis",18198,13527,"GO:0000902, GO:0030030, GO:0032989"
"query_1",TRUE,2.16169294339367e-92,1408,1784,398,0.223094170403587,0.282670454545455,"GO:0030182","GO:BP","neuron differentiation",18198,6936,"GO:0030154, GO:0048699"
"query_1",TRUE,7.01363061410031e-92,647,1784,256,0.143497757847534,0.395672333848532,"GO:0048812","GO:BP","neuron projection morphogenesis",18198,13483,"GO:0031175, GO:0120039"
"query_1",TRUE,2.72352326418719e-90,469,1784,214,0.119955156950673,0.456289978678038,"GO:0050804","GO:BP","modulation of chemical synaptic transmission",18198,13699,"GO:0007268, GO:0099177"
"query_1",TRUE,4.31979371212062e-90,470,1784,214,0.119955156950673,0.45531914893617,"GO:0099177","GO:BP","regulation of trans-synaptic signaling",18198,19636,"GO:0010646, GO:0023051, GO:0099537"
"query_1",TRUE,4.21907761911625e-89,974,1784,317,0.177690582959641,0.325462012320329,"GO:0000902","GO:BP","cell morphogenesis",18198,242,"GO:0009653"
"query_1",TRUE,1.28404320901608e-83,777,1784,272,0.152466367713004,0.35006435006435,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",18198,8249,"GO:0009653"
"query_1",TRUE,6.71912607360353e-80,1548,1784,400,0.224215246636771,0.258397932816537,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",18198,20035,"GO:0030030"
"query_1",TRUE,7.61906011517752e-78,1590,1784,403,0.225896860986547,0.253459119496855,"GO:0030030","GO:BP","cell projection organization",18198,6891,"GO:0016043"
"query_1",TRUE,3.55499128331169e-77,591,1784,226,0.126681614349776,0.382402707275804,"GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation",18198,13350,"GO:0000902, GO:0048666"
"query_1",TRUE,1.75345444523377e-71,1652,1784,401,0.224775784753363,0.24273607748184,"GO:0007267","GO:BP","cell-cell signaling",18198,2828,"GO:0007154, GO:0023052"
